# The following need to be put in the following format:
#      name    | description that completes the sentence "Foo Bar is ________________."
# For example:
#      Foo Bar | a tall, circular rock shaped like a monkey


#Yes, this big ol' list.

ait | a small island
        <location type='vegetation' desc=''>
            <option type='dead zone' >
            </option>
            <option type='overgrowth' >
            </option>
            <option type='strange patterns' >
            </option>
            <option type='' >
            </option>
        </location>
        <location type='trail' desc=''>
            <option type='slightly visible trail' >
            </option>
            <option type='signs of a large animal' >
            </option>
            <option type='' >
            </option>
        </location>
        <location type='building' desc=''>       
            <option type='windmill' >
            </option>
            <option type='tower' >
            </option>
            <option type='tavern' >
            </option>
            <option type='inn' >
            </option>
            <option type='brothel' >
            </option>
            <option type='farmhouse' >
            </option>
            <option type='bridge' >
            </option>
            <option type='' >
            </option>
        </location>
        <location type='object' desc=''>
            <option type='toy' >
            </option>
            <option type='broken cart' >
            </option>
            <option type='weapon' >
            </option>
            <option type='blue police box' >
            </option>
            <option type='sack' >
            </option>
            <option type='farm equipment' >
            </option>
            <option type='dreamcatcher' >
            </option>
            <option type='book' >
            </option>
            <option type='' >
            </option>
        </location>
        <location type='herd' desc=''><!-- a herd of thousands cattle -->
            <option type='cattle' >
            </option>
            <option type='horses' >
            </option>
            <option type='buffalo' >
            </option>
            <option type='' >
            </option>
        </location>
        <location type='traveler' desc=''>
            <option type='caravan' >
            </option>
            <option type='gypsies' >
            </option>
            <option type='single traveler' >
            </option>
            <option type='merchant' >
            </option>
            <option type='' >
            </option>
            <option type='' >
            </option>
        </location>
        <location type='magical' desc=''>
            <option type='random portal' >
            </option>
            <option type='unnatural mist' >
            </option>
            <option type='unnatural shadows' >
            </option>
            <option type='unnatural noises' >
            </option>
            <option type='odd smell' >
            </option>
        </location>
        <location type='disaster' desc=''>
            <option type='magical' >
            </option>
            <option type='natural' >
            </option>
            <option type='' >
            </option>
        </location>
        <location type='military' desc=''>
            <option type='unit' >
            </option>
            <option type='deserters' >
            </option>
            <option type='guard tower' >
            </option>
            <option type='outpost' >
            </option>
            <option type='horde' >
            </option>
            <option type='' >
            </option>
        </location>
        <location type='holy' desc=''>
            <option type='temple' >
            </option>
            <option type='graveyard' >
            </option>
            <option type='crypt' >
            </option>
            <option type='shrine' >
            </option>
            <option type='monastery' >
            </option>
            <option type='holy site' >
            </option>
            <option type='cairn' >
            </option>
            <option type='barrow' >
            </option>
            <option type='altar' >
            </option>
            <option type='' >
            </option>
        </location>
        <location type='sign' desc=''>
            <option type='mile marker' >
            </option>
            <option type='quarantine marker' >
            </option>
            <option type='warning' >
            </option>
            <option type='' >
            </option>
        </location>
        <location type='landform' desc=''>
            <option type='cavern' >
            </option>
            <option type='cliff' >
            </option>
            <option type='watering hole' >
            </option>
            <option type='pond' >
            </option>
            <option type='brook' >
            </option>
            <option type='stream' >
            </option>
            <option type='quicksand' >
            </option>
            <option type='bog' >
            </option>
            <option type='swamp' >
            </option>
            <option type='spring' >
            </option>
            <option type='' >
            </option>
        </location>
    </location_type>
    <descriptor>
        <rumorsource>
            <option type='local rumors'/>
            <option type='bard tales'/>
            <option type='legends'/>
            <option type=''/>
        </rumorsource>
        <appearance>
            <option type='beautiful'/>
            <option type='hideous'/>
            <option type='unique'/>
            <option type='healthy'/>
            <option type='sickly'/>
            <option type='alive'/>
            <option type='near death'/>
            <option type='deathly'/>
            <option type='faltering'/>
            <option type='strong'/>
            <option type='peculiar'/>
            <option type='ruined'/>
            <option type=''/>
        </appearance>
        <unity>
            <option type='devisive'/>
            <option type='uniting'/>
            <option type='fragmenting'/>
            <option type='unifying'/>
            <option type=''/>
        </unity>
        <trait>
            <option type='brave'/>
            <option type='coward'/>
            <option type='slime'/>
            <option type='old'/>
            <option type='simple'/>
            <option type='strong'/>
            <option type='clever'/>
            <option type=''/>
        </trait>
        <rarity>
            <option type='rare'/>
            <option type='plentiful'/>
            <option type='common'/>
            <option type='commonplace'/>
            <option type='unique'/>
            <option type=''/>
        </rarity>
        <win>
            <option type='slim'/>
            <option type='narrow'/>
            <option type='grueling'/>
            <option type='decisive'/>
            <option type='miniscule'/>
            <option type='massive'/>
            <option type='overwhelming'/>
            <option type=''/>
        </win>
        <warcause>
            <option type='taxes'/>
            <option type='politics'/>
            <option type='an assassination'/>
            <option type='soverignty'/>
            <option type='territory'/>
            <option type='resources'/>
            <option type='land'/>
            <option type='a bride'/>
        </warcause>
        <used>
            <option type='recently used'/>
            <option type='never used'/>
            <option type='occasionally used'/>
            <option type='often used'/>
            <option type='rarely used'/>
            <option type='long abandoned'/>
        </used>
        <smalltime>
            <option type='seconds'/>
            <option type='minutes'/>
            <option type='hours'/>
            <option type='days'/>
        </smalltime>
        <bigtime>
            <option type='weeks'/>
            <option type='months'/>
            <option type='years'/>
            <option type='decades'/>
            <option type='centuries'/>
            <option type='millennia'/>
        </bigtime>
        <signs>
            <option type='recent'/>
            <option type='ancient'/>
            <option type='no'/>
            <option type='minimal'/>
            <option type='obvious'/>
            <option type='hidden'/>
        </signs>
        <size>
            <option type='tiny'/>
            <option type='small'/>
            <option type='mediume'/>
            <option type='large'/>
            <option type='huge'/>
            <option type=''/>
        </size>
        <smallquantity><!-- you see ___ corpses litering the floor    -->
            <option type='a couple'/>
            <option type='several'/>
            <option type='two'/>
            <option type='one' singlular='true'/>
        </smallquantity>
        <bigquantity><!-- a herd/army of ___  ___    -->
            <option type='thousands of'/>
            <option type='hundreds of'/>
            <option type='dozens of'/>
            <option type='several'/>
        </bigquantity>
        <attitude>
			<option type='aggressive'/>
			<option type='angry'/>
			<option type='cautious'/>
			<option type='confrontational'/>
			<option type='friendly'/>
			<option type='hostile'/>
			<option type='indifferent'/>
			<option type='intersted'/>
			<option type='leery'/>
			<option type='menacing'/>
			<option type='mistrustful'/>
			<option type='neutral'/>
			<option type='suspicious'/>
			<option type='unfriendly'/>
			<option type='uninterested'/>
			<option type='untrusting'/>
			<option type='wary'/>
            <option type=''/>
        </attitude>
        <wear>
            <option type='like new'/>
            <option type='pristine'/>
            <option type='aged'/>
            <option type='worn'/>
            <option type='battle-scarred'/>
            <option type='well maintained'/>
            <option type='immaculate'/>
            <option type='on the verge of ruin'/>
            <option type='heavily battered'/>
            <option type=''/>
        </wear>
        <wind>
            <option type='breezy'/>
            <option type='dead'/>
            <option type='soft'/>
            <option type='heavy'/>
            <option type='strong'/>
            <option type='incredibly strong'/>
        </wind>
        <air>
            <option type='fresh'/>
            <option type='thin'/>
            <option type='thick'/>
            <option type='heavy'/>
            <option type='humid'/>
            <option type='sticky'/>
            <option type=''/>
        </air>
        <sky> <!-- The Sky is _____ $skydistance-->
            <option type='overcast'     clouds='true'/>
            <option type='cloudy'       clouds='true'/>
            <option type='dark'         clouds='true'/>
            <option type='brooding'     clouds='true'/>
            <option type='clear'/>
            <option type='bright'       clouds='true'/>
            <option type='foreboding'   clouds='true'/>
            <option type='ominous'      clouds='true'/>
            <option type=''/>
        </sky>
        <cloudtype>
            <option type='whispy'/>
            <option type='thick'/>
            <option type='thin'/>
            <option type='soupy'/>
            <option type='nebulous'/>
            <option type='nimbus'/>
            <option type='gentle'/>
            <option type=''/>
        </cloudtype>
        <cloudcolor>
            <option type='white'/>
            <option type='gray'/>
            <option type='multi-colored'/>
            <option type='black'/>
            <option type='red'/>
            <option type='purple'/>
        </cloudcolor>
        <skydistance> 
            <option type='overhead'/>
            <option type='above'/>
            <option type='nearby'/>
            <option type='in the distance'/>
            <option type=''/>
        </skydistance>
    </descriptor>
</data>
