# Planet details
LPUSH planetstats size
LPUSH planetstats temp
LPUSH planetstats atmosphere
LPUSH planetstats wind
LPUSH planetstats day
LPUSH planetstats civilization
LPUSH planetstats year
LPUSH planetstats precipitation
LPUSH planetstats mooncount
LPUSH planetstats technology


DEL  planet_size
ZADD planet_size 5  {"name":"tiny",      "multiplier":0.4,  "score":5   } 
#
#
#
#
#    <year>
#        <option          max="10"  minday="5"      maxday="10" />
#        <option min="11" max="20"  minday="11"     maxday="100" />
#        <option min="21" max="30"  minday="101"    maxday="200" />
#        <option min="31" max="60"  minday="201"    maxday="400" />
#        <option min="61" max="82"  minday="401"    maxday="600" />
#        <option min="81" max="92"  minday="601"    maxday="800" />
#        <option min="93" max="93"  minday="801"    maxday="1000" />
#        <option min="94" max="94"  minday="1001"   maxday="2000" />
#        <option min="95" max="95"  minday="2001"   maxday="10000" />
#        <option min="96" max="96"  minday="10001"  maxday="50000" />
#        <option min="97" max="97"  minday="50001"  maxday="100000" />
#        <option min="98" max="98"  minday="100001" maxday="300000" />
#        <option min="99" max="99"  minday="300001" maxday="700000" />
#    </year>
#
#    
#            
#    </surface>
#
#

#    <smallstorms>
#        <option          max="10" >scarce</option>
#        <option min="10" max="31" >rare</option>
#        <option min="30" max="55" >common</option>
#        <option min="65" max="85" >plentiful</option>
#        <option min="86" max="95" >abundant</option>
#        <option min="96"          >excessive</option>
#    </smallstorms>
#
#    <clouds>
#        <option          max="10" >scarce</option>
#        <option min="10" max="31" >rare</option>
#        <option min="30" max="55" >common</option>
#        <option min="65" max="85" >plentiful</option>
#        <option min="86" max="95" >abundant</option>
#        <option min="96"          >excessive</option>
#    </clouds>
#

