
LPUSH stat_country size
LPUSH stat_country reputation
LPUSH stat_country aggression
LPUSH stat_country corruption
LPUSH stat_country approval
LPUSH stat_country efficiency
LPUSH stat_country influence
LPUSH stat_country unity
LPUSH stat_country theology
LPUSH stat_country age
LPUSH stat_country military
LPUSH stat_country social
LPUSH stat_country economic


ZADD  country_size    5   {"name":"micro",    "mincities":1,   "maxcities":2,       "score":5    }
ZADD  country_size    10   {"name":"small",    "mincities":3,   "maxcities":5,       "score":10    }
ZADD  country_size    50   {"name":"medium",   "mincities":5,   "maxcities":20,      "score":50    }
ZADD  country_size    80   {"name":"large",    "mincities":20,  "maxcities":100,     "score":80    }
ZADD  country_size    100   {"name":"massive",  "mincities":100, "maxcities":200,     "score":100    }



# When foreigners are asked about Bogoland, they say it is __________ by other nations.

ZADD  country_influence    55  { "name":"enduring",              "score":55    }
ZADD  country_influence    60  { "name":"steadfast",             "score":60    }
ZADD  country_influence    65  { "name":"unwavering",            "score":65    }
ZADD  country_influence    70  { "name":"broadening",            "score":70    }
ZADD  country_influence    75  { "name":"improving",             "score":75    }
ZADD  country_influence    80  { "name":"spreading",             "score":80    }
ZADD  country_influence    85  { "name":"growing",               "score":85    }
ZADD  country_influence    90  { "name":"maturing",              "score":90    }
ZADD  country_influence    95  { "name":"flourishing",           "score":95    }
ZADD  country_influence    100  { "name":"thriving",              "score":100    }

# In times of crisis, the population ___________.
ZADD  country_unity    10  { "name":"turns against itself",                               "score":10    }
ZADD  country_unity    20  { "name":"is eager to point fingers",                          "score":20    }
ZADD  country_unity    30  { "name":"gives up their freedom in exchange for security",    "score":30    }
ZADD  country_unity    40  { "name":"flees for the hills",                                "score":40    }
ZADD  country_unity    50  { "name":"cowers in fear",                                     "score":50    }
ZADD  country_unity    60  { "name":"squabbles amongst themselves",                       "score":60    }
ZADD  country_unity    70  { "name":"stages ineffective protests",                        "score":70    }
ZADD  country_unity    80  { "name":"overcomes their differences",                        "score":80    }
ZADD  country_unity    90  { "name":"comes together and fights as one",                   "score":90    }
ZADD  country_unity    100  { "name":"rallies behind its leaders",                         "score":100    }


#  Religion in Willis ________.
ZADD  country_theology    5   { "name":"is strictly forbidden on pain of death",                                "score":5    }
ZADD  country_theology    10  { "name":"is forbidden",                                                          "score":10    }
ZADD  country_theology    15  { "name":"will get you in trouble",                                               "score":15    }
ZADD  country_theology    20  { "name":"is unwelcome",                                                          "score":20    }
ZADD  country_theology    25  { "name":"is unregulated",                                                        "score":25    }
ZADD  country_theology    30  { "name":"is taxed heavily",                                                      "score":30    }
ZADD  country_theology    35  { "name":"is tightly regulated by the government",                                "score":35    }
ZADD  country_theology    40  { "name":"is viewed as a nusiance",                                               "score":40    }
ZADD  country_theology    45  { "name":"is practiced behind closed doors",                                      "score":45    }
ZADD  country_theology    50  { "name":"is left to the people",                                                 "score":50    }
ZADD  country_theology    55  { "name":"is common place",                                                       "score":55    }
ZADD  country_theology    60  { "name":"is unregulated and diverse, making it a melting pot of many faiths",    "score":60    }
ZADD  country_theology    65  { "name":"enjoys many legal benefits",                                            "score":65    }
ZADD  country_theology    70  { "name":"is widespread",                                                         "score":70    }
ZADD  country_theology    75  { "name":"is sanctioned by the government",                                       "score":75    }
ZADD  country_theology    80  { "name":"is limited to a single deity",                                          "score":80    }
ZADD  country_theology    85  { "name":"plays a central role in the lawmaking process",                         "score":85    }
ZADD  country_theology    90  { "name":"controlled by the government",                                          "score":90    }
ZADD  country_theology    95  { "name":"is sacred, and the words of the gods are law",                          "score":95    }
ZADD  country_theology    100  { "name":"is used to control the populace",                                       "score":100    }


# The Bogolan Empire is a large,  _____________ land.
ZADD  country_age    5  { "name":"nascent",        "score":5    }
ZADD  country_age    10  { "name":"dawning",        "score":10    }
ZADD  country_age    15  { "name":"developing",     "score":15    }
ZADD  country_age    20  { "name":"young",          "score":20    }
ZADD  country_age    25  { "name":"budding",        "score":25    }
ZADD  country_age    30  { "name":"fledgling",      "score":30    }
ZADD  country_age    35  { "name":"emergent",       "score":35    }
ZADD  country_age    40  { "name":"burgeoning",     "score":40    }
ZADD  country_age    45  { "name":"maturing",       "score":45    }
ZADD  country_age    50  { "name":"established",    "score":50    }
ZADD  country_age    55  { "name":"developed",      "score":55    }
ZADD  country_age    60  { "name":"modern",         "score":60    }
ZADD  country_age    65  { "name":"settled",        "score":65    }
ZADD  country_age    70  { "name":"grown",          "score":70    }
ZADD  country_age    75  { "name":"mature",         "score":75    }
ZADD  country_age    80  { "name":"old",            "score":80    }
ZADD  country_age    90  { "name":"aging",          "score":90    }
ZADD  country_age    100  { "name":"ancient",        "score":100    }

# Other nations see bogoland as ________________.
ZADD  country_military    5   {"name":"peace-loving",         "score":5    }
ZADD  country_military    10   {"name":"harmonious",           "score":10    }
ZADD  country_military    15   {"name":"gentle",               "score":15    }
ZADD  country_military    20   {"name":"sociable",             "score":20    }
ZADD  country_military    25   {"name":"nonviolent",           "score":25    }
ZADD  country_military    30   {"name":"tranqil",              "score":30    }
ZADD  country_military    35   {"name":"mellow",               "score":35    }
ZADD  country_military    40   {"name":"cordial",              "score":40    }
ZADD  country_military    45   {"name":"neutral",              "score":45    }
ZADD  country_military    50   {"name":"agitated",             "score":50    }
ZADD  country_military    55   {"name":"assertive",            "score":55    }
ZADD  country_military    60   {"name":"combat-ready",         "score":60    }
ZADD  country_military    65   {"name":"violent",              "score":65    }
ZADD  country_military    70   {"name":"militaristic",         "score":70    }
ZADD  country_military    75   {"name":"militant",             "score":75    }
ZADD  country_military    80   {"name":"warlike",              "score":80    }
ZADD  country_military    85   {"name":"warmongers",           "score":85    }
ZADD  country_military    90   {"name":"a threat",             "score":90    }
ZADD  country_military    95   {"name":"an imminent threat",   "score":95    }
ZADD  country_military    100   {"name":"bloodthirsty",         "score":100    }


# Socially, Bogoland is _______________

ZADD  country_social     5   {"name":"libertarian",         "score":5     }
ZADD  country_social    10   {"name":"populist",            "score":10    }
ZADD  country_social    30   {"name":"individualistic",     "score":30    }
ZADD  country_social    40   {"name":"balanced",            "score":40    }
ZADD  country_social    60   {"name":"rigid",               "score":60    }
ZADD  country_social    80   {"name":"harsh",               "score":80    }
ZADD  country_social    95   {"name":"disciplinarian",      "score":95    }
ZADD  country_social   100   {"name":"authoritarian",       "score":100   }


# and _______________

ZADD  country_economic    10   {"name":"liberal",          "score":10    }
ZADD  country_economic    20   {"name":"progressive",      "score":20    }
ZADD  country_economic    30   {"name":"lenient",          "score":30    }
ZADD  country_economic    40   {"name":"permissive",       "score":40    }
ZADD  country_economic    60   {"name":"understanding",    "score":60    }
ZADD  country_economic    70   {"name":"strict",           "score":70    }
ZADD  country_economic    80   {"name":"limited",          "score":80    }
ZADD  country_economic    90   {"name":"intolerant",       "score":90    }
ZADD  country_economic   100   {"name":"conservative",     "score":100   }


# The right to govern was granted by _______________
LPUSH country_right forgery
LPUSH country_right divine will
LPUSH country_right consensus
LPUSH country_right constitution
LPUSH country_right hereditary succession
LPUSH country_right election
LPUSH country_right appointment
LPUSH country_right force
LPUSH country_right revolution
LPUSH country_right foreign imposition


# and that power is maintained __________ 
LPUSH country_maintained through the tip of a sword
LPUSH country_maintained through random violence
LPUSH country_maintained through the ignorance of the plebeian society
LPUSH country_maintained through vague threats and a constant state of fear
LPUSH country_maintained through financial oppression
LPUSH country_maintained by secret police raiding homes in the dead of night
LPUSH country_maintained by strict laws and corrupt guards
LPUSH country_maintained by strict laws and incorruptible guards
LPUSH country_maintained by draconian laws and underpaid guards
LPUSH country_maintained through spying and assassination
LPUSH country_maintained through a fair and just legal system
LPUSH country_maintained through the writ of law
LPUSH country_maintained through a knowledgeable and just populace
LPUSH country_maintained through vague promises and a constant state of hope
LPUSH country_maintained through sheer willpower
LPUSH country_maintained through the acclaim of the nobles
LPUSH country_maintained by unwavering supporters
LPUSH country_maintained through the support of merchant groups

ZADD country_regiondetails 10  {"name":"a single",     "score":10,  "mincount":1,   "maxcount":1   }
ZADD country_regiondetails 20  {"name":"a couple",     "score":20,  "mincount":2,   "maxcount":2   }
ZADD country_regiondetails 90  {"name":"several",      "score":90,  "mincount":3,   "maxcount":6   }
ZADD country_regiondetails 95  {"name":"many",         "score":95,  "mincount":6,   "maxcount":11  }
ZADD country_regiondetails 100 {"name":"over a dozen",       "score":100, "mincount":12,  "maxcount":36  }

